,0
0.00024575475714690745,year
0.001226503741196287,type
0.0010876996404099767,magnitude
0.0011435571303646383,hpa
0.0011232214500745236,wind_speed
0.012160575234226105,r7_km
0.001993308009003708,r10_km
0.0014973011450164267,alert_level
0.003063516792400788,arrive_month
0.0014078060931070604,arrive_hour
0.0027296316380243935,arrive_weekday
0.004215915861140441,arrive_week
0.0013630176179871675,duration_h
0.021998934053650353,pole_type_counts
0.0046257513540699105,p1
0.04578724388096529,p2
0.0037630988055264917,p3
0.033895302878630115,p4
0.0911581536695328,p5
0.15496470042308627,p6
0.01182239327337451,p7
0.000548059509603606,p8
0.010347337992632842,p9
0.00014170068695517954,p10
0.11140472560175889,pole_counts
0.00028640909975906093,double_kill
0.05557451402862394,people_total
0.05999864112253098,area
0.06039606399041387,population_density
0.025514815679117623,mean_accu_hour_rain
0.011825378048522349,mean_accu_day_rain
0.011781154134398984,accu_rain
0.0017884992852591165,heavy_rain_count_rule1
0.002550898618889523,heavy_rain_count_rule2
0.0009401357850194407,how_rain_count_rule1
0.00023506278334099926,big_how_rain_count
0.0,big_big_how_rain_count
0.0095266814585215,mean_hr_wsmax
0.01108717022714524,mean_hr_wsgust
0.019366773579860424,max_hr_wsmax
0.17508831706462555,max_hr_wsgust
0.030324273854086838,region_cluster
